ID,Name,Team,Nationality,Age,Salary £,Value,Net value
213,A. Samad,SRH,India,21,392000.0,616017.15,224017.15000000002
214,A. Singh,SRH,India,25,19600.0,393100.29000000004,373500.29000000004
215,G. Phillips,SRH,New Zealand,26,147000.0,182683.35,35683.350000000006
216,H. Klaasen,SRH,South Africa,31,514500.0,900739.4400000001,386239.44000000006
217,U. Yadav,SRH,India,26,24500.0,343415.95772727265,318915.95772727265
218,A. Sharma,SRH,India,22,637000.0,61849.98,-575150.02
219,W. Sundar,SRH,India,23,857500.0,257683.68000000002,-599816.32
220,M. Jansen,SRH,South Africa,23,411600.0,356294.7,-55305.29999999999
221,N. Reddy,SRH,India,20,19600.0,343415.95772727265,323815.95772727265
222,S. Singh,SRH,India,26,19600.0,361850.49000000005,342250.49000000005
223,V. Sharma,SRH,India,23,254800.0,420878.43000000005,166078.43000000005
224,B. Kumar,SRH,India,33,411600.0,367406.28,-44193.71999999997
225,T. Natarajan,SRH,India,32,392000.0,75739.05,-316260.95
226,U. Malik,SRH,India,23,392000.0,272961.09,-119038.90999999997
227,F. Farooqi,SRH,Afghanistan,22,49000.0,397266.93000000005,348266.93000000005
228,K. Tyagi,SRH,India,22,392000.0,259767.00000000003,-132232.99999999997
229,A. Hosein,SRH,West Indies,30,98000.0,409072.68000000005,311072.68000000005
230,A. Rashid,SRH,England,35,196000.0,318099.96,122099.96000000002
231,M. Dagar,SRH,India,26,176400.0,264627.81,88227.81
232,M. Markande,SRH,India,25,49000.0,521572.77,472572.77
233,R. Tewatia,GT,India,30,882000.0,314628.30000000005,-567371.7
234,S. Gill,GT,India,23,784000.0,1584074.07,800074.0700000001
235,D. Miller,GT,South Africa,33,294000.0,504906.21,210906.21000000002
236,A. Manohar,GT,India,28,254800.0,282683.52,27883.52000000002
237,S. Sudharsan,GT,India,21,19600.0,550869.609375,531269.609375
238,K. Williamson,GT,New Zealand,32,196000.0,550869.609375,354869.609375
239,U. Patel,GT,India,24,19600.0,550869.609375,531269.609375
240,D. Shanaka,GT,Sri Lanka,31,48699.0,550869.609375,502170.609375
241,W. Saha,GT,India,38,186200.0,248655.42,62455.42000000001
242,M. Wade,GT,Australia,35,235200.0,550869.609375,315669.609375
243,K. Bharat,GT,India,29,117600.0,550869.609375,433269.609375
244,V. Shankar,GT,India,32,137200.0,607683.87,470483.87
245,H. Pandya,GT,India,29,1470000.0,174350.07,-1295649.93
246,R. Khan,GT,Afghanistan,24,1470000.0,971573.1300000001,-498426.8699999999
247,R. Kishore,GT,India,26,294000.0,550869.609375,256869.609375
248,J. Yadav,GT,India,33,166600.0,337544.82,170944.82
249,N. Ahmad,GT,Afghanistan,18,29400.0,554211.7200000001,524811.7200000001
250,M. Shami,GT,India,32,612500.0,906295.2300000001,293795.2300000001
251,Y. Dayal,GT,India,25,313600.0,140321.97,-173278.03
252,A. Joseph,GT,West Indies,26,235200.0,346572.27,111372.27000000002
253,P. Sangwan,GT,India,32,19600.0,550869.609375,531269.609375
254,D. Nalkande,GT,India,24,19600.0,362544.66000000003,342944.66000000003
255,S. Mavi,GT,India,24,588000.0,550869.609375,-37130.390625
256,J. Little,GT,Ireland,23,431200.0,163239.30000000002,-267960.69999999995
257,M. Sharma,GT,India,34,49000.0,1314629.1900000002,1265629.1900000002
258,O. Smith,GT,West Indies,26,49000.0,550869.609375,501869.609375
