ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary,Notes
162,5,Harpreet Singh Bhatia,PBKS,India,31,Left-handed,Right-arm medium,39200.0,
163,,Shivam Singh,PBKS,India,26,Right-handed,Right-arm Off spin,19600.0,
164,51,Jonny Bairstow,PBKS,England,33,Right-handed,Right-arm off spin,661500.0,Overseas
165,99,Jitesh Sharma,PBKS,India,29,Right-handed,-,19600.0,
166,84,Prabhsimran Singh,PBKS,India,22,Right-handed,-,58800.0,
167,14,Atharva Taide,PBKS,India,23,Left-handed,Slow left arm orthodox,19600.0,
168,24,Sikandar Raza,PBKS,Zimbabwe,37,Right-handed,Right-arm off spin,49000.0,Overseas
169,19,Rishi Dhawan,PBKS,India,33,Right-handed,Right-arm medium-fast,53900.0,
170,23,Liam Livingstone,PBKS,England,29,Right-handed,Right-arm leg break,1127000.0,Overseas
171,58,Sam Curran,PBKS,England,24,Left-handed,Left-arm medium-fast,1813000.0,Overseas
172,09,Mohit Rathee,PBKS,India,24,Right-handed,Right-arm Leg spin,19600.0,
173,12,Raj Bawa,PBKS,India,20,Left-handed,Right-arm fast medium,196000.0,
174,72,Nathan Ellis,PBKS,Australia,28,Right-handed,Right-arm fast medium,73500.0,Overseas
175,25,Kagiso Rabada,PBKS,South Africa,28,Left-handed,Right-arm fast,906500.0,Overseas
176,02,Arshdeep Singh,PBKS,India,24,Left-handed,Left-arm medium-fast,392000.0,
177,10,Baltej Singh,PBKS,India,32,Right-handed,Right-arm medium,19600.0,
178,,Vidwath Kaverappa,PBKS,India,24,Right-handed,Right-arm medium-fast,19600.0,
179,,Gurnoor Brar,PBKS,India,23,Left-handed,Right-arm fast,19600.0,Replacement for Raj Bawa
180,95,Harpreet Brar,PBKS,India,27,Left-handed,Slow left-arm orthodox,372400.0,
181,83,Rahul Chahar,PBKS,India,23,Right-handed,Right-arm leg break,514500.0,
182,28,Ripal Patel,DC,India,27,Right-handed,Right-arm medium,19600.0,
183,31,David Warner,DC,Australia,36,Left-handed,Right-arm leg break,612500.0,Captain[a] ; Overseas
184,37,Manish Pandey,DC,India,33,Right-handed,Right-arm medium,235200.0,
185,9,Rilee Rossouw,DC,South Africa,33,Left-handed,Right-arm off break,450800.0,Overseas
186,52,Rovman Powell,DC,West Indies,29,Right-handed,Right-arm fast-medium,274400.0,Overseas
187,100,Prithvi Shaw,DC,India,23,Right-handed,Right-arm off break,735000.0,
188,22,Yash Dhull,DC,India,20,Right-handed,Right-arm off break,49000.0,
189,1,Abishek Porel,DC,India,20,Left-handed,,19479.0,
190,61,Phil Salt,DC,England,26,Right-handed,,196000.0,Overseas
191,17,Rishabh Pant,DC,India,25,Left-handed,,1568000.0,[a]
192,97,Sarfaraz Khan,DC,India,25,Right-handed,Right-arm leg break,19600.0,
193,6,Aman Khan,DC,India,26,Right-Handed,Right-arm medium,19600.0,
194,8,Mitchell Marsh,DC,Australia,31,Right-handed,Right-arm medium,588000.0,Overseas
195,20,Axar Patel,DC,India,29,Left-handed,Left-arm orthodox,882000.0,Vice-captain
196,16,Lalit Yadav,DC,India,26,Right-handed,Right-arm off break,63700.0,
197,29,Ishant Sharma,DC,India,34,Right-Handed,Right-arm fast-medium,49000.0,
198,49,Mukesh Kumar,DC,India,29,Right-Handed,Right-arm medium,539000.0,
199,02,Anrich Nortje,DC,South Africa,29,Right-handed,Right-arm fast,637000.0,Overseas
200,90,Mustafizur Rahman,DC,Bangladesh,27,Left-handed,Left-arm fast-medium,196000.0,Overseas
