ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary £,Notes
222,,S. Singh,SRH,India,26,Right-handed,Right-arm medium,19600.0,
223,,V. Sharma,SRH,India,23,Left-handed,Right-arm Leg spin,254800.0,
224,15,B. Kumar,SRH,India,33,Right-handed,Right arm medium-fast,411600.0,Vice-captain
225,44,T. Natarajan,SRH,India,32,Left-handed,Left arm medium-fast,392000.0,
226,24,U. Malik,SRH,India,23,Right-handed,Right arm fast,392000.0,
227,83,F. Farooqi,SRH,Afghanistan,22,Right-handed,Left-arm medium-fast,49000.0,Overseas
228,9,K. Tyagi,SRH,India,22,Right-handed,Right arm fast,392000.0,
229,,A. Hosein,SRH,West Indies,30,Left-handed,Left-arm orthodox,98000.0,Overseas
230,95,A. Rashid,SRH,England,35,Right-handed,Right-arm leg break,196000.0,Overseas
231,,M. Dagar,SRH,India,26,Right-handed,Left-arm orthodox,176400.0,
232,11,M. Markande,SRH,India,25,Right-handed,Right-arm leg break,49000.0,
233,9,R. Tewatia,GT,India,30,Left-handed,Right-arm leg break,882000.0,
234,7,S. Gill,GT,India,23,Right-handed,Right-arm off break,784000.0,
235,10,D. Miller,GT,South Africa,33,Left-handed,Right-arm off break,294000.0,Overseas
236,18,A. Manohar,GT,India,28,Right-handed,Right-arm leg break,254800.0,
237,23,S. Sudharsan,GT,India,21,Left-handed,Right-arm leg break,19600.0,
238,,K. Williamson,GT,New Zealand,32,Right-handed,Right-arm off break,196000.0,Overseas
239,,U. Patel,GT,India,24,Right-handed,-,19600.0,
240,,D. Shanaka,GT,Sri Lanka,31,Right-handed,Right-arm medium,48699.0,Overseas  Replacement for Kane Williamson
241,6,W. Saha,GT,India,38,Right-handed,-,186200.0,
242,13,M. Wade,GT,Australia,35,Left-handed,-,235200.0,Overseas
243,14,K. Bharat,GT,India,29,Right-handed,-,117600.0,
244,59,V. Shankar,GT,India,32,Right-handed,Right-arm medium,137200.0,
245,33,H. Pandya,GT,India,29,Right-handed,Right-arm medium-fast,1470000.0,Captain
246,19,R. Khan,GT,Afghanistan,24,Right-handed,Right-arm leg break,1470000.0,"Overseas,"
247,1,R. Kishore,GT,India,26,Left-handed,Left-arm orthodox,294000.0,
248,22,J. Yadav,GT,India,33,Right-handed,Right-arm off-break,166600.0,
249,15,N. Ahmad,GT,Afghanistan,18,Right-handed,Left-arm unorthodox,29400.0,Overseas
250,11,M. Shami,GT,India,32,Right-handed,Right-arm fast,612500.0,
251,133,Y. Dayal,GT,India,25,Left-handed,Left-arm fast-medium,313600.0,
252,8,A. Joseph,GT,West Indies,26,Right-handed,Right-arm fast medium,235200.0,Overseas
253,12,P. Sangwan,GT,India,32,Right-handed,Left-arm medium,19600.0,
254,04,D. Nalkande,GT,India,24,Right-handed,Right-arm fast-medium,19600.0,
255,,S. Mavi,GT,India,24,Right-handed,Right-arm fast,588000.0,
256,82,J. Little,GT,Ireland,23,Right-handed,Left-arm medium-fast,431200.0,Overseas
257,27,M. Sharma,GT,India,34,Right-handed,Right-arm medium,49000.0,
258,,O. Smith,GT,West Indies,26,Right-handed,Right-arm fast-medium,49000.0,Overseas
